id,tgl_pencatatan,jenis_mitra_pengirim,jml_pedaging_jantan,jml_pedaging_betina,jml_pedaging_anakan_jantan,jml_pedaging_anakan_betina,jml_perah_jantan,jml_perah_betina,jml_perah_anakan_jantan,jml_perah_anakan_betina,id_peternak
1869,2029-08-29,45,25,27,13,8,24,19,27,36,1
1870,2029-08-30,38,44,19,31,5,21,32,1,9,1
1871,2029-08-31,24,7,36,44,30,2,22,12,20,1
1872,2029-09-01,2,13,21,35,34,11,43,38,11,1
1873,2029-09-02,45,7,40,19,19,46,21,23,37,1
1874,2029-09-03,21,27,4,11,24,3,26,28,10,1
1875,2029-09-04,33,26,1,38,28,21,41,32,23,1
1876,2029-09-05,22,1,16,22,45,16,19,22,29,1
1877,2029-09-06,2,39,45,36,14,14,43,43,26,1
1878,2029-09-07,32,41,34,7,15,9,12,35,50,1
1879,2029-09-08,36,8,41,45,34,43,22,43,48,1
1880,2029-09-09,8,28,12,24,24,37,30,40,49,1
1881,2029-09-10,42,23,13,9,36,33,48,39,35,1
1882,2029-09-11,3,27,35,20,15,35,25,33,33,1
1883,2029-09-12,45,5,32,17,2,49,33,2,2,1
1884,2029-09-13,46,27,34,19,23,5,48,21,45,1
1885,2029-09-14,43,49,41,33,12,2,4,9,11,1
1886,2029-09-15,25,6,36,44,17,12,41,13,1,1
1887,2029-09-16,26,9,14,34,3,28,1,23,11,1
1888,2029-09-17,20,24,25,6,48,34,3,38,22,1
1889,2029-09-18,28,15,17,27,50,42,4,24,5,1
1890,2029-09-19,27,2,10,18,24,26,22,25,11,1
1891,2029-09-20,9,44,31,41,16,18,4,20,45,1
1892,2029-09-21,13,32,28,24,38,1,33,38,27,1
1893,2029-09-22,43,35,9,50,11,16,22,9,16,1
1894,2029-09-23,36,47,21,46,45,23,34,43,29,1
1895,2029-09-24,28,39,38,43,25,21,23,29,34,1
1896,2029-09-25,48,26,34,27,31,32,30,31,49,1
1897,2029-09-26,38,7,22,2,26,38,44,38,28,1
1898,2029-09-27,11,17,44,13,2,20,10,41,27,1
1899,2029-09-28,28,3,28,6,46,18,13,42,33,1
1900,2029-09-29,49,15,6,48,4,10,12,11,42,1
1901,2029-09-30,38,44,46,28,47,27,10,16,27,1
1902,2029-10-01,37,35,29,43,49,32,40,12,9,1
1903,2029-10-02,36,21,6,46,16,35,9,7,20,1
1904,2029-10-03,26,48,36,10,31,3,8,3,23,1
1905,2029-10-04,8,26,2,16,7,49,31,15,29,1
1906,2029-10-05,24,39,38,41,49,25,49,37,29,1
1907,2029-10-06,46,14,22,34,11,35,49,34,19,1
1908,2029-10-07,12,2,31,22,43,30,41,22,41,1
1909,2029-10-08,36,21,7,12,49,27,31,15,30,1
1910,2029-10-09,26,46,48,32,27,45,18,12,22,1
1911,2029-10-10,35,21,11,42,4,2,5,1,16,1
1912,2029-10-11,41,37,15,1,10,48,20,16,26,1
1913,2029-10-12,35,48,1,41,22,11,2,6,3,1
1914,2029-10-13,10,38,9,33,1,16,45,43,18,1
1915,2029-10-14,10,46,4,29,14,21,6,25,16,1
1916,2029-10-15,38,18,26,5,25,15,8,44,6,1
1917,2029-10-16,24,32,40,1,22,29,49,45,44,1
1918,2029-10-17,19,28,35,34,25,45,43,36,7,1
1919,2029-10-18,9,26,37,4,39,13,22,15,29,1
1920,2029-10-19,48,31,43,13,4,14,27,20,21,1
1921,2029-10-20,5,44,8,21,19,50,16,27,4,1
1922,2029-10-21,49,38,23,32,46,25,28,37,2,1
1923,2029-10-22,16,7,1,3,30,1,17,20,25,1
1924,2029-10-23,3,41,28,3,31,15,25,28,17,1
1925,2029-10-24,39,33,2,48,18,30,12,8,48,1
1926,2029-10-25,16,26,16,24,23,8,29,32,50,1
1927,2029-10-26,12,12,38,16,36,18,38,6,30,1
1928,2029-10-27,41,7,41,30,48,33,27,10,6,1
1929,2029-10-28,19,5,30,32,47,9,15,14,41,1
1930,2029-10-29,40,2,9,49,18,19,18,19,48,1
1931,2029-10-30,43,38,19,19,23,8,18,8,37,1
1932,2029-10-31,42,21,26,28,17,36,3,29,8,1
1933,2029-11-01,34,44,24,19,46,46,43,3,32,1
1934,2029-11-02,8,3,49,44,27,44,10,21,48,1
1935,2029-11-03,8,43,42,49,39,14,1,23,8,1
1936,2029-11-04,5,26,32,21,34,16,14,15,43,1
1937,2029-11-05,36,27,10,8,6,5,8,36,25,1
1938,2029-11-06,34,25,29,19,15,11,32,46,7,1
1939,2029-11-07,30,42,41,19,16,6,21,8,11,1
1940,2029-11-08,36,6,34,7,12,25,41,20,23,1
1941,2029-11-09,42,37,43,11,39,34,10,23,38,1
1942,2029-11-10,30,25,12,45,19,17,31,48,16,1
1943,2029-11-11,22,19,38,42,15,1,33,25,46,1
1944,2029-11-12,10,26,25,37,36,42,12,11,26,1
1945,2029-11-13,31,50,6,25,10,40,26,5,44,1
1946,2029-11-14,41,45,49,20,18,48,12,21,47,1
1947,2029-11-15,1,18,31,34,19,13,14,3,47,1
1948,2029-11-16,4,11,35,13,29,10,12,43,40,1
1949,2029-11-17,45,5,41,39,34,46,48,28,17,1
1950,2029-11-18,21,9,24,42,44,35,50,24,27,1
1951,2029-11-19,31,26,50,43,9,43,40,8,23,1
1952,2029-11-20,29,40,16,49,22,48,36,25,5,1
1953,2029-11-21,22,50,35,45,29,7,45,5,48,1
1954,2029-11-22,3,18,27,17,29,4,36,50,5,1
1955,2029-11-23,39,30,17,3,46,28,21,46,36,1
1956,2029-11-24,34,5,27,36,48,26,47,41,30,1
1957,2029-11-25,16,39,12,36,43,31,45,34,24,1
1958,2029-11-26,50,19,20,37,28,16,40,12,6,1
1959,2029-11-27,50,6,39,32,24,5,11,24,9,1
1960,2029-11-28,47,4,20,26,5,41,29,16,32,1
1961,2029-11-29,4,5,11,8,15,17,42,21,34,1
1962,2029-11-30,41,12,27,46,36,29,10,40,50,1
1963,2029-12-01,9,35,8,2,42,45,2,11,3,1
1964,2029-12-02,50,9,44,33,13,18,38,3,2,1
1965,2029-12-03,44,20,34,6,1,40,33,6,27,1
1966,2029-12-04,5,41,2,28,29,6,44,12,40,1
1967,2029-12-05,36,48,48,12,44,40,33,12,10,1
1968,2029-12-06,46,21,34,47,26,30,13,18,8,1
1969,2029-12-07,28,42,2,21,46,16,34,20,49,1
1970,2029-12-08,48,2,2,26,14,18,18,6,28,1
1971,2029-12-09,45,21,10,10,39,34,37,33,23,1
1972,2029-12-10,35,35,36,8,6,39,2,48,21,1
1973,2029-12-11,22,28,8,28,48,31,23,47,6,1
1974,2029-12-12,40,49,37,27,49,17,14,36,2,1
1975,2029-12-13,21,19,16,7,43,50,25,31,7,1
1976,2029-12-14,22,23,15,21,24,10,29,10,43,1
1977,2029-12-15,27,24,30,28,44,38,23,50,12,1
1978,2029-12-16,4,26,46,35,24,25,5,3,11,1
1979,2029-12-17,8,49,8,38,3,3,11,9,6,1
1980,2029-12-18,20,39,47,50,3,16,28,9,13,1
1981,2029-12-19,42,46,14,50,26,22,14,11,29,1
1982,2029-12-20,49,20,43,23,17,35,24,42,49,1
1983,2029-12-21,41,23,25,45,2,5,35,34,23,1
1984,2029-12-22,31,24,48,19,13,14,41,4,4,1
1985,2029-12-23,20,6,45,4,49,43,13,1,23,1
1986,2029-12-24,42,32,21,1,43,49,27,12,35,1
1987,2029-12-25,3,35,20,42,48,21,49,14,50,1
1988,2029-12-26,46,25,32,23,9,31,45,16,4,1
1989,2029-12-27,42,19,31,42,26,38,38,10,18,1
1990,2029-12-28,2,7,33,39,8,3,47,37,21,1
1991,2029-12-29,20,12,38,19,20,4,36,38,42,1
1992,2029-12-30,23,44,45,17,18,11,37,16,14,1
1993,2029-12-31,5,19,13,21,2,5,5,10,19,1
1994,2030-01-01,17,39,8,12,28,14,48,35,24,1
1995,2030-01-02,26,49,22,10,42,42,36,42,19,1
1996,2030-01-03,34,20,31,12,9,9,20,24,42,1
1997,2030-01-04,3,29,19,47,38,7,50,28,9,1
1998,2030-01-05,3,42,41,33,1,44,48,17,18,1
1999,2030-01-06,32,18,47,38,6,38,24,28,44,1
2000,2030-01-07,28,15,5,1,48,12,26,29,46,1
2001,2030-01-08,20,42,19,43,12,37,22,48,9,1
2002,2030-01-09,7,48,49,41,45,23,31,35,22,1
2003,2030-01-10,29,32,31,25,44,17,31,34,30,1
2004,2030-01-11,29,12,11,33,15,41,22,37,38,1
2005,2030-01-12,25,41,42,47,42,7,35,8,48,1
2006,2030-01-13,36,27,44,41,23,32,6,18,21,1
2007,2030-01-14,29,33,32,6,46,25,5,21,33,1
2008,2030-01-15,48,29,43,17,4,16,26,23,8,1
2009,2030-01-16,46,38,19,38,36,47,22,35,42,1
2010,2030-01-17,5,36,6,23,47,23,35,7,37,1
2011,2030-01-18,47,6,13,22,43,31,20,14,6,1
2012,2030-01-19,23,17,12,10,29,16,12,14,16,1
2013,2030-01-20,48,16,29,23,50,34,35,27,31,1
2014,2030-01-21,5,42,30,7,39,47,16,28,44,1
2015,2030-01-22,18,25,24,43,17,16,41,14,3,1
2016,2030-01-23,36,38,5,29,10,46,3,46,47,1
2017,2030-01-24,21,30,24,15,17,19,20,21,46,1
2018,2030-01-25,2,13,50,8,42,21,31,9,24,1
2019,2030-01-26,49,43,10,45,3,6,16,29,10,1
2020,2030-01-27,12,44,14,49,3,6,20,34,3,1
2021,2030-01-28,36,12,33,26,18,40,8,7,7,1
2022,2030-01-29,38,22,46,29,2,50,33,11,9,1
2023,2030-01-30,7,28,33,38,49,11,48,10,27,1
2024,2030-01-31,36,37,7,42,6,31,2,45,40,1
2025,2030-02-01,26,48,6,43,30,7,50,43,46,1
2026,2030-02-02,50,39,8,41,43,9,17,49,15,1
2027,2030-02-03,38,18,19,42,50,20,12,10,33,1
2028,2030-02-04,20,15,37,25,22,3,10,10,25,1
2029,2030-02-05,36,36,34,6,43,1,41,45,6,1
2030,2030-02-06,42,37,34,18,48,1,46,22,32,1
2031,2030-02-07,9,15,36,42,1,24,22,43,35,1
2032,2030-02-08,26,4,9,9,42,27,31,44,12,1
2033,2030-02-09,23,50,47,39,13,31,20,9,30,1
2034,2030-02-10,12,9,12,43,1,16,28,46,3,1
2035,2030-02-11,35,42,40,22,13,36,44,18,31,1
2036,2030-02-12,25,27,36,1,16,25,17,10,21,1
2037,2030-02-13,23,37,5,3,3,29,9,29,48,1
2038,2030-02-14,5,2,48,37,30,46,20,36,16,1
2039,2030-02-15,32,30,12,24,49,21,24,26,34,1
2040,2030-02-16,24,18,3,36,28,2,3,15,15,1
2041,2030-02-17,14,3,7,25,26,23,1,20,14,1
2042,2030-02-18,41,19,22,15,21,7,8,6,31,1
2043,2030-02-19,9,14,6,21,19,34,9,12,7,1
2044,2030-02-20,31,15,3,1,33,10,44,12,45,1
2045,2030-02-21,28,18,37,12,25,23,46,37,30,1
2046,2030-02-22,47,29,12,12,50,4,32,31,48,1
2047,2030-02-23,30,42,2,37,36,3,48,16,39,1
2048,2030-02-24,31,46,46,17,31,16,50,35,11,1
2049,2030-02-25,13,26,26,4,37,42,18,31,33,1
2050,2030-02-26,42,37,24,23,23,16,10,3,1,1
2051,2030-02-27,34,17,4,37,30,19,37,45,50,1
2052,2030-02-28,7,20,30,39,4,6,6,8,20,1
2053,2030-03-01,36,14,42,5,47,1,47,21,48,1
2054,2030-03-02,2,28,9,50,38,20,5,9,14,1
2055,2030-03-03,7,29,38,2,15,39,26,46,4,1
2056,2030-03-04,47,23,36,18,17,38,5,33,44,1
2057,2030-03-05,47,47,49,10,3,2,36,30,36,1
2058,2030-03-06,2,19,10,6,13,44,34,15,26,1
2059,2030-03-07,42,22,50,13,50,36,5,13,28,1
2060,2030-03-08,27,40,11,20,10,36,18,30,10,1
2061,2030-03-09,22,48,12,40,50,37,10,26,44,1
2062,2030-03-10,31,39,9,29,8,47,43,21,28,1
2063,2030-03-11,15,24,44,22,37,41,35,42,24,1
2064,2030-03-12,36,3,47,37,29,8,35,16,47,1
2065,2030-03-13,20,39,50,45,12,40,2,21,33,1
2066,2030-03-14,21,35,6,27,21,42,17,30,13,1
2067,2030-03-15,22,6,40,25,3,11,22,18,7,1
2068,2030-03-16,14,32,50,47,38,15,16,34,44,1
2069,2030-03-17,21,39,1,11,13,16,40,1,25,1
2070,2030-03-18,32,38,47,7,33,35,19,46,44,1
2071,2030-03-19,32,17,45,41,15,16,41,8,30,1
2072,2030-03-20,14,37,13,25,39,18,2,3,41,1
2073,2030-03-21,24,33,22,38,39,14,44,11,2,1
2074,2030-03-22,5,23,32,49,27,14,19,40,22,1
2075,2030-03-23,32,1,30,7,3,39,19,41,15,1
2076,2030-03-24,1,1,29,42,49,4,42,42,28,1
2077,2030-03-25,21,15,27,14,6,4,9,31,30,1
2078,2030-03-26,24,1,37,29,33,41,8,2,17,1
2079,2030-03-27,33,50,37,18,35,46,22,42,13,1
2080,2030-03-28,20,19,24,5,25,30,30,49,20,1
2081,2030-03-29,38,5,12,7,36,41,12,28,13,1
2082,2030-03-30,46,25,13,46,12,41,23,1,2,1
2083,2030-03-31,40,42,46,12,22,48,37,9,2,1
2084,2030-04-01,33,48,41,46,18,14,38,19,27,1
2085,2030-04-02,42,17,17,4,29,4,4,31,1,1
2086,2030-04-03,42,34,36,43,22,45,29,43,9,1
2087,2030-04-04,44,21,34,26,35,38,27,6,33,1
2088,2030-04-05,49,27,44,42,9,42,5,21,49,1
2089,2030-04-06,3,50,30,35,43,45,34,31,11,1
2090,2030-04-07,4,23,37,33,33,3,23,50,26,1
2091,2030-04-08,42,41,47,22,14,4,21,16,38,1
2092,2030-04-09,16,48,12,8,4,34,49,50,14,1
2093,2030-04-10,24,6,31,17,48,34,39,42,26,1
2094,2030-04-11,27,20,46,1,31,35,24,11,14,1
2095,2030-04-12,21,13,35,9,12,25,10,31,26,1
2096,2030-04-13,17,26,37,4,37,6,27,45,8,1
2097,2030-04-14,44,34,12,12,47,29,46,10,3,1
2098,2030-04-15,10,7,42,28,13,15,48,45,9,1
2099,2030-04-16,36,19,44,23,50,35,26,4,4,1
2100,2030-04-17,19,10,25,13,45,48,9,34,39,1
2101,2030-04-18,27,22,1,18,27,19,46,26,3,1
2102,2030-04-19,9,4,39,35,34,19,19,40,12,1
2103,2030-04-20,14,30,27,7,20,33,10,39,21,1
2104,2030-04-21,24,43,30,39,38,39,33,25,33,1
2105,2030-04-22,49,3,34,4,32,5,45,26,50,1
2106,2030-04-23,43,16,45,29,47,29,49,47,48,1
2107,2030-04-24,38,3,9,30,50,43,31,2,39,1
2108,2030-04-25,36,18,1,48,50,24,3,2,36,1
2109,2030-04-26,12,42,16,12,21,40,49,38,10,1
2110,2030-04-27,31,37,29,18,15,39,31,41,8,1
2111,2030-04-28,27,25,5,47,50,23,2,5,12,1
2112,2030-04-29,49,19,2,11,20,39,9,9,17,1
2113,2030-04-30,33,27,32,47,50,45,47,4,45,1
2114,2030-05-01,44,41,50,31,4,11,22,39,37,1
2115,2030-05-02,12,9,14,34,50,39,39,30,26,1
2116,2030-05-03,35,24,4,42,50,15,22,10,40,1
2117,2030-05-04,30,44,14,28,32,49,40,10,40,1
2118,2030-05-05,11,1,13,21,19,35,24,11,41,1
2119,2030-05-06,15,2,10,37,35,43,9,20,10,1
2120,2030-05-07,22,38,13,31,25,45,41,15,39,1
2121,2030-05-08,5,37,5,39,20,33,7,7,10,1
2122,2030-05-09,46,35,14,42,46,7,1,31,40,1
2123,2030-05-10,22,14,41,44,32,3,3,20,46,1
2124,2030-05-11,50,19,8,5,38,44,37,25,31,1
2125,2030-05-12,22,29,19,40,27,7,40,43,31,1
2126,2030-05-13,32,39,10,24,36,22,28,19,14,1
2127,2030-05-14,5,36,19,48,18,17,35,22,9,1
2128,2030-05-15,43,13,8,5,22,9,4,14,35,1
2129,2030-05-16,27,25,34,1,17,46,43,17,20,1
2130,2030-05-17,29,7,43,47,10,23,41,17,13,1
2131,2030-05-18,49,16,46,17,5,14,28,48,3,1
2132,2030-05-19,40,32,15,2,6,24,8,35,1,1
2133,2030-05-20,47,47,23,3,40,5,25,35,45,1
2134,2030-05-21,10,7,29,36,45,32,40,25,12,1
2135,2030-05-22,8,50,10,14,22,15,2,42,49,1
2136,2030-05-23,26,15,41,35,32,10,35,42,37,1
2137,2030-05-24,46,23,49,32,13,13,40,21,2,1
2138,2030-05-25,5,22,21,9,7,1,10,18,45,1
2139,2030-05-26,24,42,48,6,9,45,22,27,14,1
2140,2030-05-27,27,10,23,46,43,44,30,6,47,1
2141,2030-05-28,37,48,50,35,21,46,9,12,17,1
2142,2030-05-29,45,16,7,45,38,3,24,24,13,1
2143,2030-05-30,14,4,28,9,27,46,24,42,4,1
2144,2030-05-31,32,20,15,39,43,17,39,5,11,1
2145,2030-06-01,23,50,17,12,39,41,7,1,7,1
2146,2030-06-02,18,17,39,40,13,42,40,32,2,1
2147,2030-06-03,36,42,45,1,24,33,43,12,24,1
2148,2030-06-04,46,11,38,42,21,48,36,17,26,1
2149,2030-06-05,28,46,9,12,46,46,31,47,31,1
2150,2030-06-06,48,43,14,13,2,40,22,45,21,1
2151,2030-06-07,1,31,18,42,20,21,40,33,20,1
2152,2030-06-08,31,9,2,20,30,17,34,28,16,1
2153,2030-06-09,10,27,18,18,31,24,12,35,17,1
2154,2030-06-10,23,8,39,40,9,34,46,36,34,1
2155,2030-06-11,22,30,2,15,34,14,38,47,28,1
2156,2030-06-12,3,30,47,3,19,34,18,7,18,1
2157,2030-06-13,13,3,35,41,42,45,13,6,37,1
2158,2030-06-14,15,38,14,14,15,34,4,44,40,1
2159,2030-06-15,26,40,19,35,5,8,48,34,38,1
2160,2030-06-16,47,1,31,36,37,47,49,39,13,1
2161,2030-06-17,24,20,17,28,3,39,40,27,4,1
2162,2030-06-18,30,4,4,3,17,29,30,4,43,1
2163,2030-06-19,25,31,21,10,39,10,24,4,33,1
2164,2030-06-20,30,46,23,46,38,47,38,14,37,1
2165,2030-06-21,16,8,8,44,35,24,19,29,29,1
2166,2030-06-22,15,23,48,11,29,35,44,20,38,1
2167,2030-06-23,39,16,31,2,7,46,9,41,47,1
2168,2030-06-24,12,2,44,33,24,37,7,30,27,1
2169,2030-06-25,46,43,29,3,4,31,45,21,38,1
2170,2030-06-26,38,10,36,19,13,29,13,49,48,1
2171,2030-06-27,34,31,19,4,38,4,7,15,42,1
2172,2030-06-28,29,29,6,22,16,11,9,20,28,1
2173,2030-06-29,7,34,29,23,34,35,39,46,27,1
2174,2030-06-30,5,27,19,43,6,39,20,13,10,1
2175,2030-07-01,8,37,20,10,45,39,12,18,33,1
2176,2030-07-02,42,44,43,12,3,15,9,26,26,1
2177,2030-07-03,15,24,22,38,9,44,7,6,45,1
2178,2030-07-04,14,32,30,1,31,23,6,25,11,1
2179,2030-07-05,38,19,30,4,27,46,15,6,44,1
2180,2030-07-06,45,41,7,6,7,5,23,3,18,1
2181,2030-07-07,11,47,12,13,8,36,50,37,36,1
2182,2030-07-08,9,28,28,46,6,34,37,31,30,1
2183,2030-07-09,28,33,47,44,48,4,6,38,34,1
2184,2030-07-10,40,41,46,30,24,34,32,18,50,1
2185,2030-07-11,41,4,33,18,50,25,18,23,49,1
2186,2030-07-12,31,47,43,25,3,47,25,43,6,1
2187,2030-07-13,45,28,43,45,8,13,43,24,18,1
2188,2030-07-14,13,9,11,4,47,48,3,8,12,1
2189,2030-07-15,11,33,36,37,49,45,21,5,11,1
2190,2030-07-16,24,4,12,48,32,26,19,50,26,1
2191,2030-07-17,29,50,45,27,41,37,40,28,13,1
2192,2030-07-18,12,37,42,33,5,8,45,8,18,1
2193,2030-07-19,44,4,29,28,27,15,2,33,4,1
2194,2030-07-20,3,17,45,50,19,41,23,23,38,1
2195,2030-07-21,14,11,19,50,47,1,45,4,3,1
2196,2030-07-22,26,46,10,22,50,47,3,45,33,1
2197,2030-07-23,33,15,8,18,4,27,14,8,12,1
2198,2030-07-24,1,1,19,32,34,50,16,38,47,1
2199,2030-07-25,24,6,16,1,40,29,41,10,36,1
2200,2030-07-26,32,44,15,1,24,30,1,14,37,1
2201,2030-07-27,7,29,12,49,24,20,43,21,12,1
2202,2030-07-28,17,7,30,15,30,31,5,22,46,1
2203,2030-07-29,23,23,37,2,4,44,24,11,22,1
2204,2030-07-30,13,4,6,19,38,9,15,37,6,1
2205,2030-07-31,15,4,5,29,16,27,36,45,20,1
2206,2030-08-01,22,8,13,44,21,9,20,17,48,1
2207,2030-08-02,39,12,37,22,45,7,9,22,31,1
2208,2030-08-03,23,1,18,32,49,19,24,25,40,1
2209,2030-08-04,1,12,34,46,13,29,5,32,48,1
2210,2030-08-05,40,31,48,15,2,35,32,50,43,1
2211,2030-08-06,43,3,27,13,30,4,20,38,1,1
2212,2030-08-07,35,48,21,3,15,1,42,1,40,1
2213,2030-08-08,9,14,14,23,49,36,38,45,10,1
2214,2030-08-09,26,6,30,7,2,23,49,14,35,1
2215,2030-08-10,24,16,33,40,47,17,5,40,41,1
2216,2030-08-11,32,24,15,7,27,48,25,7,5,1
2217,2030-08-12,21,43,25,31,18,41,46,2,10,1
2218,2030-08-13,7,39,35,44,1,1,49,40,36,1
2219,2030-08-14,31,17,37,40,2,23,29,39,24,1
2220,2030-08-15,9,12,49,50,49,1,32,18,41,1
2221,2030-08-16,45,14,43,47,19,3,40,38,39,1
2222,2030-08-17,19,16,36,31,19,7,17,12,4,1
2223,2030-08-18,43,25,30,10,46,38,35,47,23,1
2224,2030-08-19,46,34,25,18,12,14,35,10,17,1
2225,2030-08-20,4,36,36,26,11,9,37,14,39,1
2226,2030-08-21,33,9,47,2,38,13,31,6,39,1
2227,2030-08-22,21,43,50,1,37,19,40,46,7,1
2228,2030-08-23,11,10,25,19,22,30,16,5,8,1
2229,2030-08-24,22,36,35,28,47,14,18,14,38,1
2230,2030-08-25,37,12,18,38,48,33,32,13,42,1
2231,2030-08-26,25,37,1,29,26,28,11,23,9,1
2232,2030-08-27,13,3,7,47,19,25,49,40,15,1
2233,2030-08-28,18,36,25,45,30,44,18,1,49,1
2234,2030-08-29,45,17,25,41,28,20,5,11,15,1
2235,2030-08-30,7,9,6,39,36,16,46,8,24,1
2236,2030-08-31,35,33,17,37,15,38,39,38,26,1
2237,2030-09-01,17,46,26,20,30,38,41,5,9,1
2238,2030-09-02,4,39,31,27,31,35,14,32,27,1
2239,2030-09-03,48,26,39,38,47,3,33,4,27,1
2240,2030-09-04,7,31,9,34,6,7,28,30,3,1
2241,2030-09-05,14,33,43,32,26,32,29,30,50,1
2242,2030-09-06,46,36,21,47,44,50,21,33,11,1
2243,2030-09-07,13,46,42,37,43,10,49,8,40,1
2244,2030-09-08,49,30,36,4,47,42,23,5,38,1
2245,2030-09-09,4,22,24,44,11,19,29,22,21,1
2246,2030-09-10,2,21,27,19,1,19,25,12,23,1
2247,2030-09-11,5,19,6,3,3,24,29,42,8,1
2248,2030-09-12,27,36,36,36,21,48,33,41,18,1
2249,2030-09-13,23,8,19,45,14,42,40,24,40,1
2250,2030-09-14,15,23,16,35,8,19,31,5,26,1
2251,2030-09-15,20,34,21,14,35,12,4,14,21,1
2252,2030-09-16,19,26,40,1,39,33,34,15,42,1
2253,2030-09-17,27,38,31,23,17,34,4,38,30,1
2254,2030-09-18,34,26,12,25,6,5,26,22,9,1
2255,2030-09-19,17,17,16,23,15,39,37,27,27,1
2256,2030-09-20,43,23,24,41,46,41,11,34,2,1
2257,2030-09-21,7,26,19,2,32,50,17,50,35,1
2258,2030-09-22,30,7,19,6,31,32,41,49,21,1
2259,2030-09-23,3,25,36,29,2,14,12,45,1,1
2260,2030-09-24,35,5,40,26,24,4,29,47,25,1
2261,2030-09-25,38,12,35,42,16,8,45,11,32,1
2262,2030-09-26,44,5,5,33,46,40,12,27,4,1
2263,2030-09-27,4,3,9,39,36,21,13,7,16,1
2264,2030-09-28,44,7,36,38,27,40,16,36,6,1
2265,2030-09-29,7,3,9,38,12,45,16,18,40,1
2266,2030-09-30,9,14,16,19,1,19,39,44,14,1
2267,2030-10-01,18,11,5,10,40,4,35,12,2,1
2268,2030-10-02,21,41,13,32,46,6,31,8,2,1
2269,2030-10-03,16,34,50,44,4,38,12,39,49,1
2270,2030-10-04,15,14,26,20,6,31,33,41,13,1
2271,2030-10-05,30,6,13,37,14,36,5,17,14,1
2272,2030-10-06,13,11,38,31,27,47,7,36,12,1
2273,2030-10-07,43,11,1,27,47,7,31,25,27,1
2274,2030-10-08,31,41,23,38,36,46,30,22,20,1
2275,2030-10-09,3,50,35,28,8,7,27,22,22,1
2276,2030-10-10,8,1,36,9,14,42,18,24,36,1
2277,2030-10-11,6,35,2,29,49,8,32,43,11,1
2278,2030-10-12,44,41,35,39,29,12,16,2,23,1
2279,2030-10-13,38,44,33,25,14,31,35,39,1,1
2280,2030-10-14,36,6,29,4,29,35,24,23,20,1
2281,2030-10-15,37,16,44,26,7,7,48,35,31,1
2282,2030-10-16,8,10,45,10,3,7,40,30,44,1
2283,2030-10-17,6,41,34,27,19,20,5,30,5,1
2284,2030-10-18,25,20,41,4,22,15,12,26,9,1
2285,2030-10-19,39,2,36,33,21,1,31,11,47,1
2286,2030-10-20,15,8,39,13,10,16,43,30,13,1
2287,2030-10-21,26,25,21,48,22,24,23,5,11,1
2288,2030-10-22,18,17,48,5,18,35,29,6,4,1
2289,2030-10-23,20,38,27,28,20,31,11,42,33,1
2290,2030-10-24,4,30,3,29,2,18,17,10,34,1
2291,2030-10-25,46,16,42,39,41,25,8,45,6,1
2292,2030-10-26,35,2,45,12,6,25,8,20,47,1
2293,2030-10-27,41,26,43,4,20,30,42,37,21,1
2294,2030-10-28,15,1,2,28,48,20,20,37,2,1
2295,2030-10-29,50,33,50,40,22,8,20,10,33,1
2296,2030-10-30,10,6,19,50,11,30,37,2,32,1
2297,2030-10-31,50,21,36,48,24,5,29,37,34,1
2298,2030-11-01,29,43,5,7,45,49,48,44,30,1
2299,2030-11-02,12,3,14,29,12,42,4,43,43,1
2300,2030-11-03,26,49,8,47,23,48,38,49,24,1
2301,2030-11-04,18,4,30,46,26,32,40,8,12,1
2302,2030-11-05,9,23,26,17,36,30,39,12,22,1
2303,2030-11-06,48,26,5,16,33,30,31,28,40,1
2304,2030-11-07,28,2,24,50,23,16,37,11,41,1
2305,2030-11-08,28,25,19,38,3,2,35,49,28,1
2306,2030-11-09,17,44,43,28,34,8,20,29,23,1
2307,2030-11-10,14,1,27,40,44,17,17,37,23,1
2308,2030-11-11,19,25,35,26,32,23,46,47,32,1
2309,2030-11-12,31,44,27,30,42,37,29,11,6,1
2310,2030-11-13,35,5,28,8,43,10,23,2,2,1
2311,2030-11-14,35,42,15,2,14,39,29,48,7,1
2312,2030-11-15,25,13,27,17,44,28,34,9,33,1
2313,2030-11-16,30,1,33,43,8,30,16,32,48,1
2314,2030-11-17,6,4,8,47,16,30,44,35,49,1
2315,2030-11-18,32,35,6,48,9,44,20,7,14,1
2316,2030-11-19,2,19,47,10,47,2,7,26,10,1
2317,2030-11-20,47,44,43,28,38,20,7,18,2,1
2318,2030-11-21,40,33,1,8,38,22,47,31,21,1
2319,2030-11-22,16,50,14,23,42,4,43,49,28,1
2320,2030-11-23,6,12,22,33,38,11,16,44,1,1
2321,2030-11-24,49,22,18,11,50,18,17,30,39,1
2322,2030-11-25,49,19,3,17,23,44,45,9,17,1
2323,2030-11-26,6,3,9,25,44,37,28,9,28,1
2324,2030-11-27,44,32,42,20,46,17,40,14,34,1
2325,2030-11-28,37,21,13,48,30,1,11,28,2,1
2326,2030-11-29,40,43,15,37,34,31,12,6,2,1
2327,2030-11-30,31,7,13,47,33,17,49,32,42,1
2328,2030-12-01,15,27,12,25,27,40,31,6,27,1
2329,2030-12-02,39,37,29,41,46,14,7,41,50,1
2330,2030-12-03,46,43,23,5,42,25,23,26,44,1
