id,tgl_pencatatan,jenis_mitra_penerima,jml_pedaging_jantan,jml_pedaging_betina,jml_pedaging_anakan_jantan,jml_pedaging_anakan_betina,jml_perah_jantan,jml_perah_betina,jml_perah_anakan_jantan,jml_perah_anakan_betina,id_peternak
2670,2031-11-08,47,43,36,28,13,25,21,19,5,1
2671,2031-11-09,46,23,46,19,37,26,7,41,42,1
2672,2031-11-10,31,13,14,5,5,21,10,3,31,1
2673,2031-11-11,44,15,26,15,23,8,17,49,24,1
2674,2031-11-12,22,19,32,47,3,31,11,22,50,1
2675,2031-11-13,6,25,29,1,12,30,49,32,5,1
2676,2031-11-14,14,14,13,36,14,16,23,30,1,1
2677,2031-11-15,23,3,11,6,3,16,46,38,5,1
2678,2031-11-16,33,31,46,29,3,40,13,46,35,1
2679,2031-11-17,3,22,18,26,12,5,21,29,21,1
2680,2031-11-18,1,13,6,8,10,39,3,32,43,1
2681,2031-11-19,39,1,22,2,45,27,21,37,50,1
2682,2031-11-20,11,11,27,41,2,13,12,39,2,1
2683,2031-11-21,50,21,14,29,7,35,45,38,9,1
2684,2031-11-22,16,29,46,1,10,45,33,21,6,1
2685,2031-11-23,49,12,42,15,46,45,50,11,11,1
2686,2031-11-24,6,22,32,19,19,33,8,11,11,1
2687,2031-11-25,23,18,28,22,37,47,40,49,10,1
2688,2031-11-26,23,50,9,30,28,38,7,1,35,1
2689,2031-11-27,35,41,34,15,35,31,16,23,45,1
2690,2031-11-28,44,13,10,15,12,24,9,24,47,1
2691,2031-11-29,43,41,48,46,39,50,45,2,3,1
2692,2031-11-30,27,16,27,50,50,16,45,39,10,1
2693,2031-12-01,5,2,25,4,13,9,31,2,47,1
2694,2031-12-02,30,48,45,26,30,30,45,49,46,1
2695,2031-12-03,20,21,7,11,46,45,48,20,12,1
2696,2031-12-04,3,15,45,2,35,21,33,46,32,1
2697,2031-12-05,42,3,49,7,47,13,32,11,18,1
2698,2031-12-06,44,1,41,40,5,25,36,39,26,1
2699,2031-12-07,42,47,21,47,22,39,23,36,7,1
2700,2031-12-08,28,13,6,36,27,22,24,34,44,1
2701,2031-12-09,26,49,42,10,2,48,31,5,29,1
2702,2031-12-10,37,8,47,42,46,8,28,39,49,1
2703,2031-12-11,34,45,31,28,40,31,7,21,27,1
2704,2031-12-12,5,46,39,2,38,12,24,40,15,1
2705,2031-12-13,20,27,9,19,6,15,33,8,18,1
2706,2031-12-14,21,37,42,20,13,38,10,45,11,1
2707,2031-12-15,47,15,9,19,31,7,40,42,32,1
2708,2031-12-16,4,4,34,24,4,30,23,2,18,1
2709,2031-12-17,45,37,2,5,21,48,20,8,18,1
2710,2031-12-18,34,16,39,46,13,38,17,11,23,1
2711,2031-12-19,47,23,36,43,6,35,18,18,14,1
2712,2031-12-20,20,45,50,28,4,34,43,9,37,1
2713,2031-12-21,42,14,1,18,10,15,27,4,29,1
2714,2031-12-22,35,27,20,37,25,39,3,13,36,1
2715,2031-12-23,30,26,30,23,30,13,43,29,16,1
2716,2031-12-24,12,39,45,2,50,22,31,28,36,1
2717,2031-12-25,19,30,30,28,26,38,42,45,21,1
2718,2031-12-26,31,39,40,13,47,11,35,3,22,1
2719,2031-12-27,41,33,2,46,36,28,46,49,5,1
2720,2031-12-28,32,43,1,16,39,29,20,20,46,1
2721,2031-12-29,2,49,26,17,13,14,36,48,20,1
2722,2031-12-30,24,25,9,29,38,3,30,24,41,1
2723,2031-12-31,40,5,42,1,49,17,31,46,50,1
2724,2032-01-01,28,44,44,14,21,41,27,35,31,1
2725,2032-01-02,24,22,50,36,29,45,20,21,9,1
2726,2032-01-03,1,44,43,11,10,1,44,24,4,1
2727,2032-01-04,42,21,50,46,24,32,42,31,41,1
2728,2032-01-05,36,19,6,14,13,48,16,23,19,1
2729,2032-01-06,26,49,41,27,36,19,33,4,12,1
2730,2032-01-07,22,31,20,12,40,46,46,19,25,1
2731,2032-01-08,22,8,47,7,12,43,15,16,15,1
2732,2032-01-09,9,32,34,37,35,24,6,5,39,1
2733,2032-01-10,30,36,31,22,16,46,42,21,9,1
2734,2032-01-11,26,4,31,10,29,37,7,38,50,1
2735,2032-01-12,22,41,47,43,36,23,5,29,35,1
2736,2032-01-13,42,21,16,10,30,20,14,21,47,1
2737,2032-01-14,36,11,18,36,38,31,43,10,15,1
2738,2032-01-15,11,20,24,16,12,10,22,44,21,1
2739,2032-01-16,20,30,28,37,9,12,4,22,40,1
2740,2032-01-17,22,43,27,30,11,29,10,32,15,1
2741,2032-01-18,10,49,28,22,3,10,6,43,40,1
2742,2032-01-19,6,33,10,3,1,30,14,13,42,1
2743,2032-01-20,25,6,44,22,30,42,50,39,41,1
2744,2032-01-21,42,35,7,30,36,32,19,48,36,1
2745,2032-01-22,42,8,16,49,26,39,34,43,1,1
2746,2032-01-23,30,26,29,46,9,50,34,39,13,1
2747,2032-01-24,42,8,6,2,32,22,5,49,42,1
2748,2032-01-25,40,31,27,4,39,18,35,15,28,1
2749,2032-01-26,6,43,34,23,16,29,22,25,15,1
2750,2032-01-27,22,37,18,7,2,42,27,2,36,1
2751,2032-01-28,22,8,40,32,48,29,46,20,24,1
2752,2032-01-29,39,23,18,12,14,16,32,5,14,1
2753,2032-01-30,22,28,20,10,12,4,10,6,9,1
2754,2032-01-31,2,28,39,31,9,20,23,21,3,1
2755,2032-02-01,13,43,16,43,30,18,35,15,50,1
2756,2032-02-02,13,25,45,20,7,15,33,4,40,1
2757,2032-02-03,29,16,2,26,46,21,37,35,26,1
2758,2032-02-04,47,35,44,17,37,45,17,30,16,1
2759,2032-02-05,44,25,21,44,35,17,41,36,27,1
2760,2032-02-06,23,32,14,30,27,32,45,47,8,1
2761,2032-02-07,37,2,13,46,3,18,23,14,32,1
2762,2032-02-08,17,20,34,21,50,37,30,39,27,1
2763,2032-02-09,13,45,48,12,1,16,23,32,9,1
2764,2032-02-10,20,16,4,42,42,24,30,11,5,1
2765,2032-02-11,17,15,5,29,8,34,4,26,11,1
2766,2032-02-12,29,27,38,13,28,11,32,10,35,1
2767,2032-02-13,21,29,23,9,13,9,4,50,29,1
2768,2032-02-14,17,18,40,26,40,23,41,37,39,1
2769,2032-02-15,14,34,35,6,37,7,23,9,37,1
2770,2032-02-16,23,13,27,42,46,28,13,27,19,1
2771,2032-02-17,15,33,21,32,36,14,21,19,29,1
2772,2032-02-18,45,30,37,12,18,9,39,45,37,1
2773,2032-02-19,35,13,9,10,30,8,16,24,22,1
2774,2032-02-20,45,27,24,45,17,8,31,34,45,1
2775,2032-02-21,33,36,20,13,11,29,26,32,12,1
2776,2032-02-22,20,11,22,27,39,40,24,26,1,1
2777,2032-02-23,34,36,39,45,11,34,8,29,2,1
2778,2032-02-24,20,29,40,17,50,16,15,6,49,1
2779,2032-02-25,46,5,5,48,47,47,25,26,9,1
2780,2032-02-26,35,30,9,13,18,21,39,6,19,1
2781,2032-02-27,3,7,21,35,18,46,22,3,15,1
2782,2032-02-28,17,38,23,30,1,37,11,33,25,1
2783,2032-02-29,16,42,36,49,11,17,19,48,17,1
2784,2032-03-01,40,9,44,8,5,1,23,15,49,1
2785,2032-03-02,32,5,19,46,29,14,39,45,29,1
2786,2032-03-03,12,28,7,12,18,4,13,31,1,1
2787,2032-03-04,31,40,8,31,50,47,6,37,46,1
2788,2032-03-05,26,23,28,37,42,3,44,2,33,1
2789,2032-03-06,23,18,1,50,36,37,50,32,28,1
2790,2032-03-07,19,22,23,47,45,41,38,17,30,1
2791,2032-03-08,29,15,48,5,8,13,11,23,38,1
2792,2032-03-09,28,46,2,3,39,1,13,36,46,1
2793,2032-03-10,24,34,11,3,4,19,42,34,33,1
2794,2032-03-11,24,29,5,5,8,1,6,28,16,1
2795,2032-03-12,36,19,4,15,8,37,27,1,2,1
2796,2032-03-13,34,12,21,36,8,30,20,48,36,1
2797,2032-03-14,20,13,41,22,25,16,12,50,43,1
2798,2032-03-15,26,29,32,12,38,15,40,9,23,1
2799,2032-03-16,1,4,36,14,28,49,19,19,7,1
2800,2032-03-17,3,25,33,40,29,36,3,48,18,1
2801,2032-03-18,33,2,47,19,34,26,15,49,13,1
2802,2032-03-19,5,15,28,47,20,28,28,26,16,1
2803,2032-03-20,31,33,32,37,2,14,19,45,39,1
2804,2032-03-21,5,30,39,12,5,30,49,46,27,1
2805,2032-03-22,26,17,38,16,24,15,36,42,31,1
2806,2032-03-23,44,43,20,49,41,25,39,13,28,1
2807,2032-03-24,47,31,35,32,28,28,15,12,50,1
2808,2032-03-25,41,42,3,23,19,17,36,34,41,1
2809,2032-03-26,37,24,48,13,15,26,36,12,12,1
2810,2032-03-27,26,35,38,45,19,40,39,11,30,1
2811,2032-03-28,30,4,2,18,27,37,7,12,18,1
2812,2032-03-29,18,41,31,39,2,1,21,1,6,1
2813,2032-03-30,2,18,3,12,42,6,6,13,13,1
2814,2032-03-31,33,3,27,42,48,25,10,36,11,1
2815,2032-04-01,3,49,15,4,7,20,2,50,26,1
2816,2032-04-02,19,47,36,33,42,28,44,6,3,1
2817,2032-04-03,7,26,41,43,13,15,8,43,4,1
2818,2032-04-04,17,15,10,15,12,12,40,8,46,1
2819,2032-04-05,42,22,42,28,38,2,3,32,5,1
2820,2032-04-06,28,12,27,2,14,35,29,38,36,1
2821,2032-04-07,3,28,29,49,15,8,44,21,26,1
2822,2032-04-08,23,15,42,13,27,10,27,13,48,1
2823,2032-04-09,27,36,17,38,30,28,36,16,29,1
2824,2032-04-10,32,7,2,2,7,17,7,27,27,1
2825,2032-04-11,14,37,35,15,18,14,35,46,11,1
2826,2032-04-12,21,24,45,17,15,42,19,15,5,1
2827,2032-04-13,9,1,13,33,37,43,27,26,11,1
2828,2032-04-14,41,36,28,13,25,14,32,41,46,1
2829,2032-04-15,2,3,38,24,43,35,21,26,41,1
2830,2032-04-16,40,1,13,49,16,35,25,23,29,1
2831,2032-04-17,16,38,40,18,37,24,23,4,41,1
2832,2032-04-18,30,20,47,16,8,4,40,24,17,1
2833,2032-04-19,21,42,40,7,13,17,6,26,25,1
2834,2032-04-20,29,29,22,20,14,13,28,43,16,1
2835,2032-04-21,48,32,6,36,44,10,26,50,21,1
2836,2032-04-22,20,31,5,34,22,39,28,25,34,1
2837,2032-04-23,44,15,41,4,32,17,40,35,1,1
2838,2032-04-24,35,21,10,7,30,1,17,44,37,1
2839,2032-04-25,37,23,3,50,47,30,2,24,46,1
2840,2032-04-26,22,34,18,5,22,36,39,6,14,1
2841,2032-04-27,2,18,28,8,3,40,3,8,25,1
2842,2032-04-28,39,30,32,24,28,42,49,48,8,1
2843,2032-04-29,48,28,46,42,14,39,8,16,44,1
2844,2032-04-30,35,6,8,17,28,2,28,8,7,1
2845,2032-05-01,3,43,26,24,44,27,2,42,48,1
2846,2032-05-02,1,45,26,2,31,43,11,13,50,1
2847,2032-05-03,2,5,50,3,18,48,49,37,44,1
2848,2032-05-04,36,22,5,10,5,37,9,13,14,1
2849,2032-05-05,30,21,48,18,49,47,31,23,47,1
2850,2032-05-06,3,44,42,23,26,33,28,44,46,1
2851,2032-05-07,48,13,30,17,2,49,49,30,45,1
2852,2032-05-08,43,23,1,39,32,49,2,18,13,1
2853,2032-05-09,50,36,26,30,2,41,3,42,8,1
2854,2032-05-10,9,21,4,7,46,26,32,44,17,1
2855,2032-05-11,24,11,14,32,6,18,50,30,46,1
2856,2032-05-12,41,19,17,45,43,36,43,41,47,1
2857,2032-05-13,17,37,42,49,26,43,18,36,10,1
2858,2032-05-14,42,32,31,5,37,7,41,42,4,1
2859,2032-05-15,47,11,23,38,46,44,26,2,15,1
2860,2032-05-16,5,31,27,3,35,1,47,34,14,1
2861,2032-05-17,31,25,40,10,44,26,8,20,8,1
2862,2032-05-18,22,26,47,49,7,24,24,43,12,1
2863,2032-05-19,40,8,23,26,19,30,8,47,15,1
2864,2032-05-20,41,8,33,47,47,22,13,1,42,1
2865,2032-05-21,24,40,41,22,20,5,41,24,28,1
2866,2032-05-22,46,25,44,26,27,31,7,30,29,1
2867,2032-05-23,34,38,29,25,29,31,2,48,39,1
2868,2032-05-24,13,4,10,19,27,16,31,8,15,1
2869,2032-05-25,35,5,7,1,21,11,1,15,7,1
2870,2032-05-26,14,47,14,45,27,30,12,39,15,1
2871,2032-05-27,11,35,27,9,45,35,13,50,8,1
2872,2032-05-28,11,17,3,7,38,1,6,16,38,1
2873,2032-05-29,32,39,28,42,39,34,16,27,42,1
2874,2032-05-30,8,6,34,32,36,30,48,18,2,1
2875,2032-05-31,13,21,39,49,46,8,29,17,21,1
2876,2032-06-01,27,40,48,27,7,38,50,11,4,1
2877,2032-06-02,5,37,7,27,38,5,19,16,50,1
2878,2032-06-03,49,47,43,45,38,11,8,17,33,1
2879,2032-06-04,41,20,9,30,37,3,13,38,17,1
2880,2032-06-05,15,34,5,47,43,22,32,38,19,1
2881,2032-06-06,18,44,15,25,46,41,21,16,17,1
2882,2032-06-07,35,37,22,21,40,18,22,26,46,1
2883,2032-06-08,48,49,45,34,29,11,29,36,38,1
2884,2032-06-09,13,43,25,40,28,39,5,18,25,1
2885,2032-06-10,29,36,7,46,16,37,11,31,44,1
2886,2032-06-11,19,47,12,44,20,33,6,41,32,1
2887,2032-06-12,1,1,20,32,23,7,15,23,35,1
2888,2032-06-13,36,45,40,38,25,22,1,28,18,1
2889,2032-06-14,39,24,50,37,32,24,40,50,4,1
2890,2032-06-15,19,19,18,30,42,9,32,1,8,1
2891,2032-06-16,22,9,8,26,6,16,37,17,10,1
2892,2032-06-17,32,42,6,27,37,22,4,19,39,1
2893,2032-06-18,24,17,47,33,14,6,14,33,15,1
2894,2032-06-19,7,9,39,22,42,5,32,22,22,1
2895,2032-06-20,17,25,29,26,23,8,43,46,45,1
2896,2032-06-21,50,9,14,18,7,14,40,44,11,1
2897,2032-06-22,26,48,49,4,38,31,43,10,2,1
2898,2032-06-23,32,37,11,32,41,42,36,46,27,1
2899,2032-06-24,7,50,10,49,22,26,37,17,49,1
2900,2032-06-25,49,43,31,4,25,13,43,1,28,1
2901,2032-06-26,3,6,10,17,11,41,18,5,22,1
2902,2032-06-27,8,11,12,3,47,19,28,29,10,1
2903,2032-06-28,48,14,21,16,24,46,21,12,9,1
2904,2032-06-29,22,31,43,14,36,18,48,25,29,1
2905,2032-06-30,35,20,48,14,13,13,21,39,38,1
2906,2032-07-01,18,45,42,35,6,41,35,46,40,1
2907,2032-07-02,48,25,34,46,33,2,38,48,5,1
2908,2032-07-03,46,42,11,9,39,29,47,23,32,1
2909,2032-07-04,1,23,16,41,13,4,44,50,37,1
2910,2032-07-05,13,26,43,15,41,37,4,18,39,1
2911,2032-07-06,20,7,47,17,3,47,40,9,33,1
2912,2032-07-07,31,13,8,13,18,50,15,30,6,1
2913,2032-07-08,1,45,19,21,11,8,26,3,28,1
2914,2032-07-09,34,5,50,49,36,32,38,5,35,1
2915,2032-07-10,19,32,19,28,17,5,2,19,9,1
2916,2032-07-11,33,18,14,11,9,49,45,31,6,1
2917,2032-07-12,37,19,29,49,36,28,14,17,5,1
2918,2032-07-13,26,22,14,20,10,18,14,45,28,1
2919,2032-07-14,9,1,6,22,32,38,31,46,14,1
2920,2032-07-15,12,23,39,13,19,23,1,32,33,1
2921,2032-07-16,15,24,10,1,7,13,17,24,1,1
2922,2032-07-17,33,10,13,27,4,5,14,16,28,1
2923,2032-07-18,20,40,17,4,30,23,45,23,21,1
2924,2032-07-19,11,13,42,35,43,7,17,41,39,1
2925,2032-07-20,33,6,30,38,18,13,1,10,5,1
2926,2032-07-21,3,39,1,12,25,10,26,2,21,1
2927,2032-07-22,17,23,14,43,3,35,40,29,38,1
2928,2032-07-23,6,18,15,48,21,8,15,5,42,1
2929,2032-07-24,23,36,40,26,3,19,5,34,37,1
2930,2032-07-25,27,46,42,46,21,13,1,46,18,1
2931,2032-07-26,5,4,9,3,8,44,30,49,40,1
2932,2032-07-27,16,33,32,45,8,49,8,25,6,1
2933,2032-07-28,10,49,14,2,28,32,8,47,50,1
2934,2032-07-29,30,38,11,36,49,6,2,1,7,1
2935,2032-07-30,8,22,46,5,20,23,30,32,15,1
2936,2032-07-31,30,42,38,9,44,37,16,20,16,1
2937,2032-08-01,39,44,3,32,21,50,28,20,40,1
2938,2032-08-02,19,46,24,6,14,13,31,18,37,1
2939,2032-08-03,45,50,30,48,35,18,1,5,4,1
2940,2032-08-04,47,32,12,29,48,44,13,19,34,1
2941,2032-08-05,18,39,15,40,36,31,12,21,28,1
2942,2032-08-06,11,20,16,12,33,38,4,7,44,1
2943,2032-08-07,19,45,32,41,14,7,27,24,13,1
2944,2032-08-08,37,2,9,34,44,38,8,20,34,1
2945,2032-08-09,20,25,10,33,11,33,17,27,40,1
2946,2032-08-10,2,37,14,42,23,26,42,10,19,1
2947,2032-08-11,37,44,4,34,49,47,13,37,41,1
2948,2032-08-12,20,26,47,36,50,50,12,28,11,1
2949,2032-08-13,44,29,38,35,49,42,23,14,24,1
2950,2032-08-14,27,3,2,34,35,38,44,28,2,1
2951,2032-08-15,23,30,24,29,30,4,14,26,32,1
2952,2032-08-16,8,1,49,28,34,15,43,35,2,1
2953,2032-08-17,23,45,46,5,29,16,16,17,48,1
2954,2032-08-18,3,43,49,1,9,50,38,28,48,1
2955,2032-08-19,23,32,5,19,48,16,15,34,27,1
2956,2032-08-20,36,22,16,42,35,2,45,13,47,1
2957,2032-08-21,38,45,13,2,11,16,45,24,15,1
2958,2032-08-22,41,37,28,11,41,25,27,35,29,1
2959,2032-08-23,34,37,44,24,43,4,31,45,33,1
2960,2032-08-24,11,40,22,48,47,21,24,32,7,1
2961,2032-08-25,45,10,27,32,48,15,29,11,44,1
2962,2032-08-26,42,17,27,26,31,40,16,50,1,1
2963,2032-08-27,1,8,19,38,6,33,2,12,44,1
2964,2032-08-28,47,32,26,33,49,6,28,15,25,1
2965,2032-08-29,36,45,30,6,2,17,41,25,16,1
2966,2032-08-30,17,45,16,39,38,35,4,32,41,1
2967,2032-08-31,17,5,25,15,6,15,4,36,38,1
2968,2032-09-01,12,23,39,38,15,11,20,40,49,1
2969,2032-09-02,9,1,44,3,14,23,36,43,26,1
2970,2032-09-03,29,39,7,19,23,41,41,14,24,1
2971,2032-09-04,10,32,49,8,12,41,45,40,37,1
2972,2032-09-05,44,12,31,6,45,3,24,8,4,1
2973,2032-09-06,25,21,16,16,20,38,32,36,24,1
2974,2032-09-07,34,9,15,45,50,14,40,13,37,1
2975,2032-09-08,25,28,32,23,11,34,34,16,46,1
2976,2032-09-09,27,26,28,45,6,15,27,43,35,1
2977,2032-09-10,35,40,23,4,33,40,15,40,45,1
2978,2032-09-11,19,15,22,22,38,1,28,6,11,1
2979,2032-09-12,50,20,7,24,11,15,17,33,49,1
2980,2032-09-13,9,31,28,42,33,45,47,47,28,1
2981,2032-09-14,15,10,38,16,50,13,31,37,36,1
2982,2032-09-15,4,9,17,5,43,35,19,26,15,1
2983,2032-09-16,49,20,16,47,25,44,12,26,41,1
2984,2032-09-17,50,48,26,7,12,2,8,25,7,1
2985,2032-09-18,4,12,41,28,43,21,32,23,37,1
2986,2032-09-19,4,8,16,16,36,42,9,4,19,1
2987,2032-09-20,45,36,33,50,40,8,2,3,14,1
2988,2032-09-21,38,38,36,50,39,29,37,28,6,1
2989,2032-09-22,38,48,38,44,48,30,27,25,48,1
2990,2032-09-23,39,4,5,20,39,5,5,33,9,1
2991,2032-09-24,27,26,31,4,26,19,14,18,28,1
2992,2032-09-25,37,9,40,3,10,10,28,28,45,1
2993,2032-09-26,42,14,1,36,21,31,19,29,10,1
2994,2032-09-27,13,24,1,15,20,40,42,16,24,1
2995,2032-09-28,45,16,50,14,39,23,22,8,48,1
2996,2032-09-29,5,49,20,19,25,27,34,26,11,1
2997,2032-09-30,4,12,46,24,5,31,45,8,31,1
2998,2032-10-01,36,7,2,44,49,29,22,37,31,1
2999,2032-10-02,27,16,21,45,6,47,33,13,37,1
3000,2032-10-03,21,11,33,34,46,48,46,7,3,1
3001,2032-10-04,40,40,26,13,47,11,47,2,8,1
3002,2032-10-05,45,19,1,16,24,25,35,5,25,1
3003,2032-10-06,33,9,22,1,40,18,34,16,35,1
3004,2032-10-07,1,16,11,38,33,48,49,34,28,1
3005,2032-10-08,27,26,17,12,5,36,37,2,25,1
3006,2032-10-09,47,30,44,24,15,14,7,1,31,1
3007,2032-10-10,19,33,18,39,25,34,18,2,22,1
3008,2032-10-11,27,25,31,47,37,23,42,9,35,1
3009,2032-10-12,3,41,27,40,45,5,28,42,3,1
3010,2032-10-13,2,41,3,48,10,22,9,10,16,1
3011,2032-10-14,33,40,10,37,15,27,9,25,22,1
3012,2032-10-15,41,33,41,10,37,36,49,50,31,1
3013,2032-10-16,35,20,48,34,26,34,38,6,36,1
3014,2032-10-17,32,43,41,30,9,47,36,39,44,1
3015,2032-10-18,27,27,1,45,50,2,3,38,40,1
3016,2032-10-19,26,17,21,26,48,48,44,14,21,1
3017,2032-10-20,5,39,27,5,45,41,39,33,46,1
3018,2032-10-21,49,41,34,31,1,15,30,42,25,1
3019,2032-10-22,4,31,48,36,28,17,27,42,24,1
3020,2032-10-23,40,27,30,33,42,40,47,44,50,1
3021,2032-10-24,5,9,3,24,42,2,38,48,46,1
3022,2032-10-25,32,16,46,12,20,40,41,21,40,1
3023,2032-10-26,21,49,29,41,31,44,39,8,1,1
3024,2032-10-27,7,8,32,29,9,48,22,43,31,1
3025,2032-10-28,6,40,10,10,38,42,47,49,2,1
3026,2032-10-29,22,34,38,39,13,1,17,26,16,1
3027,2032-10-30,38,8,16,47,28,4,21,7,17,1
3028,2032-10-31,42,40,43,49,13,40,12,12,21,1
3029,2032-11-01,29,16,19,40,7,42,7,11,24,1
3030,2032-11-02,13,42,9,40,50,38,16,12,48,1
3031,2032-11-03,45,18,12,5,33,35,4,4,21,1
3032,2032-11-04,34,36,21,5,45,43,38,42,13,1
3033,2032-11-05,3,47,20,12,12,23,40,1,1,1
3034,2032-11-06,4,29,12,20,32,46,7,1,40,1
3035,2032-11-07,12,29,24,45,10,10,5,16,22,1
3036,2032-11-08,49,31,34,20,19,20,28,8,44,1
3037,2032-11-09,2,25,1,4,26,50,25,17,37,1
3038,2032-11-10,19,12,26,49,32,3,2,13,28,1
3039,2032-11-11,9,46,49,23,28,46,20,14,44,1
3040,2032-11-12,33,10,26,33,48,15,45,41,37,1
3041,2032-11-13,35,15,11,15,34,22,50,34,8,1
3042,2032-11-14,43,17,2,26,23,17,11,27,49,1
3043,2032-11-15,23,9,7,43,42,17,7,16,42,1
3044,2032-11-16,48,46,48,27,12,32,16,47,45,1
3045,2032-11-17,33,21,20,33,19,38,24,1,32,1
3046,2032-11-18,18,3,21,24,28,47,6,20,3,1
3047,2032-11-19,36,46,47,22,18,36,31,19,23,1
3048,2032-11-20,20,32,48,31,7,47,21,11,34,1
3049,2032-11-21,11,1,43,46,1,7,50,23,13,1
3050,2032-11-22,37,20,10,40,13,27,33,25,29,1
3051,2032-11-23,40,14,46,2,21,48,31,12,29,1
3052,2032-11-24,25,16,27,11,19,15,44,21,49,1
3053,2032-11-25,14,27,34,16,28,34,28,20,31,1
3054,2032-11-26,29,31,50,9,35,8,39,22,2,1
3055,2032-11-27,44,18,5,36,27,2,16,20,31,1
3056,2032-11-28,18,18,21,6,18,25,41,15,22,1
3057,2032-11-29,16,2,46,2,3,6,48,29,44,1
3058,2032-11-30,12,23,43,28,1,42,36,1,34,1
3059,2032-12-01,16,8,24,31,48,6,13,36,33,1
3060,2032-12-02,31,10,34,40,7,21,26,32,13,1
3061,2032-12-03,24,43,41,36,6,46,2,31,7,1
3062,2032-12-04,13,25,12,34,12,27,27,38,37,1
3063,2032-12-05,16,27,5,1,47,31,43,30,40,1
3064,2032-12-06,22,7,45,48,37,11,45,29,50,1
3065,2032-12-07,15,26,49,39,16,3,10,2,8,1
3066,2032-12-08,33,49,50,15,33,40,8,45,18,1
3067,2032-12-09,4,10,49,8,33,19,29,28,41,1
3068,2032-12-10,1,35,19,10,45,18,38,43,38,1
3069,2032-12-11,14,11,34,14,4,20,24,42,40,1
3070,2032-12-12,23,22,34,12,30,7,19,6,9,1
3071,2032-12-13,14,33,8,31,36,48,3,44,23,1
3072,2032-12-14,39,49,31,1,8,35,25,49,36,1
3073,2032-12-15,5,4,16,8,12,2,17,46,23,1
3074,2032-12-16,31,11,15,1,24,10,11,48,24,1
3075,2032-12-17,20,31,13,46,36,24,34,30,4,1
3076,2032-12-18,39,22,3,36,39,12,19,11,18,1
3077,2032-12-19,17,24,36,50,3,22,9,29,14,1
3078,2032-12-20,24,40,50,5,44,12,17,44,34,1
3079,2032-12-21,41,10,33,34,27,49,24,10,24,1
3080,2032-12-22,25,38,45,37,39,46,8,19,32,1
3081,2032-12-23,48,42,3,3,19,7,43,46,5,1
3082,2032-12-24,41,29,26,5,36,21,50,16,33,1
3083,2032-12-25,23,9,40,9,45,13,22,31,27,1
3084,2032-12-26,39,41,45,50,24,21,16,31,36,1
3085,2032-12-27,39,38,5,16,37,24,43,11,4,1
3086,2032-12-28,38,34,18,9,15,44,42,37,4,1
3087,2032-12-29,27,2,50,43,19,44,3,18,12,1
3088,2032-12-30,35,3,38,49,19,13,43,40,43,1
3089,2032-12-31,7,48,34,32,40,12,10,5,50,1
3090,2033-01-01,24,34,8,7,35,23,32,22,44,1
3091,2033-01-02,18,47,30,5,1,1,27,41,6,1
3092,2033-01-03,10,30,25,17,33,30,16,14,27,1
3093,2033-01-04,43,17,12,38,44,48,15,50,24,1
3094,2033-01-05,2,25,45,11,28,38,26,50,37,1
3095,2033-01-06,33,30,22,1,50,12,27,30,16,1
3096,2033-01-07,11,42,4,23,29,19,41,44,17,1
3097,2033-01-08,19,38,17,21,4,3,28,30,17,1
3098,2033-01-09,48,48,38,4,5,2,47,21,7,1
3099,2033-01-10,2,18,40,1,15,13,18,32,47,1
3100,2033-01-11,17,34,10,25,3,39,14,21,47,1
3101,2033-01-12,18,19,7,5,3,25,48,2,21,1
3102,2033-01-13,44,47,39,22,36,14,8,21,31,1
3103,2033-01-14,37,37,22,3,20,16,7,15,26,1
3104,2033-01-15,49,9,25,45,49,38,44,41,32,1
3105,2033-01-16,30,37,43,41,20,18,31,17,46,1
3106,2033-01-17,28,9,42,42,50,12,24,33,26,1
3107,2033-01-18,9,15,43,42,9,44,34,39,42,1
3108,2033-01-19,13,7,10,36,21,49,6,21,25,1
3109,2033-01-20,1,50,45,13,32,17,41,19,21,1
3110,2033-01-21,25,47,18,46,30,49,35,25,31,1
3111,2033-01-22,44,35,3,21,18,10,3,38,43,1
3112,2033-01-23,11,42,18,42,18,44,47,27,26,1
3113,2033-01-24,44,12,24,25,25,39,3,28,40,1
3114,2033-01-25,5,33,5,45,48,6,35,12,36,1
3115,2033-01-26,46,20,27,13,49,49,21,3,36,1
3116,2033-01-27,15,25,46,13,28,42,7,30,38,1
3117,2033-01-28,18,31,48,14,18,25,15,40,6,1
3118,2033-01-29,21,38,12,48,25,19,32,48,5,1
3119,2033-01-30,24,28,5,10,50,3,30,5,44,1
3120,2033-01-31,38,28,32,21,10,24,38,1,30,1
3121,2033-02-01,45,14,42,37,22,12,19,40,12,1
3122,2033-02-02,33,29,3,34,24,7,15,27,29,1
3123,2033-02-03,11,33,3,17,43,26,5,24,28,1
3124,2033-02-04,5,29,20,23,1,46,44,38,8,1
3125,2033-02-05,44,27,13,44,12,42,23,23,13,1
3126,2033-02-06,30,35,29,35,3,15,43,34,28,1
3127,2033-02-07,47,9,15,48,38,38,26,43,23,1
3128,2033-02-08,23,4,17,13,11,1,37,7,50,1
3129,2033-02-09,9,26,29,32,26,23,42,50,37,1
3130,2033-02-10,1,36,1,7,18,46,44,1,7,1
3131,2033-02-11,3,49,45,24,6,40,17,43,35,1
